Flight ID,Engine,TOW (kg),TOW2_OpenAP (kg),Fuel Burnt (kg) ,Fuel Burnt OpenAP (kg),takeoff,climb,cruise,step climb,descent,landing,unknown
2022_01_06_0236_3C64F4__A343_D-AIGT,CFM56-5C3,256470.02,169200.21,99470.02,12200.211414496669,0.0,1772.0,28332.0,0.0,1460.0,0.0,184.0
2022_01_06_1013_3C656F__A333_D-AIKO,Trent 772,204815.94,196799.18,55035.94,47019.17793842177,0.0,1953.0,27484.0,0.0,2032.0,0.0,152.0
2022_01_06_1755_3C64F4__A343_D-AIGT,CFM56-5C3,N/A,157117.27,127468.89,117.27063512809727,64.0,1852.0,36816.0,0.0,1676.0,0.0,252.0
2022_01_06_2153_3C656F__A333_D-AIKO,Trent 772,195162.45,185671.3,45382.45,35891.30264044885,16.0,1860.0,21744.0,0.0,1524.0,0.0,476.0
2022_01_07_0751_3C64F4__A343_D-AIGT,CFM56-5C3,N/A,157139.06,131815.79,139.0609824906096,76.0,2164.0,37744.0,0.0,1600.0,0.0,120.0
2022_01_07_1146_3C656F__A333_D-AIKO,Trent 772,184968.9,177638.48,35188.9,27858.47557211072,28.0,1460.0,16568.0,0.0,1804.0,0.0,264.0
2022_01_07_1826_3C656F__A333_D-AIKO,Trent 772,155744.63,153835.21,5964.63,4055.210752216293,4.0,932.0,272.0,0.0,1392.0,0.0,68.0
2022_01_07_2044_3C656F__A333_D-AIKO,Trent 772,157135.93,154659.2,7355.93,4879.201593515718,36.0,1220.0,116.0,0.0,1356.0,0.0,72.0
2022_01_07_2310_3C656F__A333_D-AIKO,Trent 772,189517.5,179585.57,39737.5,29805.572095238873,8.0,2412.0,16534.0,0.0,1748.0,0.0,156.0
2022_01_08_0932_3C656F__A333_D-AIKO,Trent 772,218420.12,209847.65,68640.12,60067.65347462288,20.0,2208.0,34964.0,0.0,2020.0,0.0,572.0
2022_01_08_1259_3C64F4__A343_D-AIGT,CFM56-5C3,273522.77,172940.29,116522.77,15940.292886289963,36.0,2028.0,33136.0,0.0,2040.0,20.0,216.0
2022_01_08_2124_3C656F__A333_D-AIKO,Trent 772,158400.36,156070.08,8620.36,6290.08444211893,20.0,680.0,2720.0,0.0,1196.0,0.0,104.0
2022_01_09_0115_3C656F__A333_D-AIKO,Trent 772,205567.7,199754.92,55787.7,49974.924335430056,32.0,2008.0,27572.0,0.0,1784.0,0.0,644.0
2022_01_09_1247_3C656F__A333_D-AIKO,Trent 772,208030.36,199636.96,58250.36,49856.96388693551,20.0,2144.0,28500.0,0.0,2760.0,0.0,344.0
2022_01_10_0025_3C656F__A333_D-AIKO,Trent 772,194686.89,187429.85,44906.89,37649.85176352078,36.0,2204.0,20180.0,4.0,1864.0,0.0,396.0
2022_01_10_0227_3C64F4__A343_D-AIGT,CFM56-5C3,249681.08,167327.39,92681.08,10327.393044963967,80.0,1412.0,26540.0,0.0,1764.0,0.0,160.0
2022_01_10_1058_3C656F__A333_D-AIKO,Trent 772,185415.76,177624.9,35635.76,27844.904277117726,40.0,1628.0,16196.0,0.0,1884.0,0.0,400.0
2022_01_10_2117_3C64F4__A343_D-AIGT,CFM56-5C3,N/A,157153.9,121865.06,153.9043955579386,84.0,2184.0,34516.0,0.0,1992.0,0.0,236.0
2022_01_10_2312_3C656F__A333_D-AIKO,Trent 772,192499.86,182966.77,42719.86,33186.7658641374,28.0,2264.0,18716.0,0.0,1700.0,0.0,416.0
2022_01_11_1217_3C656F__A333_D-AIKO,Trent 772,186609.02,178463.4,36829.02,28683.398864783514,52.0,1364.0,17816.0,0.0,1728.0,0.0,300.0
2022_01_11_1643_3C64F4__A343_D-AIGT,CFM56-5C3,N/A,157095.31,132377.05,95.3103175872654,52.0,2496.0,37500.0,4.0,1500.0,0.0,124.0
2022_01_11_2324_3C656F__A333_D-AIKO,Trent 772,191674.26,182135.82,41894.26,32355.823555781277,28.0,2152.0,18700.0,0.0,1564.0,0.0,120.0
2022_01_12_0917_3C656F__A333_D-AIKO,Trent 772,217105.19,208922.5,67325.19,59142.49736616497,44.0,1860.0,35320.0,0.0,1916.0,0.0,168.0
2022_01_12_2213_3C656F__A333_D-AIKO,Trent 772,207295.3,197515.86,57515.3,47735.858662853236,28.0,2068.0,28448.0,0.0,2084.0,0.0,432.0
2022_01_17_1054_3C64F4__A343_D-AIGT,CFM56-5C3,248231.57,167752.51,91231.57,10752.5136933645,96.0,1920.0,25348.0,0.0,1692.0,0.0,188.0
2022_01_17_2115_3C64F4__A343_D-AIGT,CFM56-5C3,231794.07,164362.59,74794.07,7362.59210717649,16.0,1836.0,20412.0,0.0,2064.0,0.0,184.0
2022_01_18_1004_3C64F4__A343_D-AIGT,CFM56-5C3,251297.43,168219.6,94297.43,11219.59932278334,96.0,1532.0,26848.0,0.0,1776.0,0.0,148.0
2022_01_18_2054_3C64F4__A343_D-AIGT,CFM56-5C3,237408.74,165317.93,80408.74,8317.931281812342,84.0,1480.0,22564.0,0.0,1952.0,0.0,224.0
2022_01_19_1027_3C64F4__A343_D-AIGT,CFM56-5C3,249593.37,168189.24,92593.37,11189.239363105818,76.0,1684.0,26088.0,0.0,2096.0,0.0,140.0
2022_01_19_2057_3C64F4__A343_D-AIGT,CFM56-5C3,236820.04,165265.31,79820.04,8265.313819734707,76.0,1552.0,22304.0,0.0,1824.0,0.0,272.0
2022_01_20_1046_3C64F4__A343_D-AIGT,CFM56-5C3,247195.8,167587.59,90195.8,10587.594925624138,64.0,1756.0,25288.0,4.0,1856.0,0.0,140.0
2022_01_20_2118_3C64F4__A343_D-AIGT,CFM56-5C3,232627.2,164927.47,75627.2,7927.471285996062,68.0,1872.0,20608.0,0.0,1656.0,0.0,88.0
2022_01_21_1048_3C64F4__A343_D-AIGT,CFM56-5C3,247725.43,167272.44,90725.43,10272.441360826153,84.0,1740.0,25424.0,0.0,2020.0,0.0,132.0
2022_01_21_2128_3C64F4__A343_D-AIGT,CFM56-5C3,230241.01,164079.07,73241.01,7079.069962532147,72.0,1420.0,20468.0,0.0,1840.0,0.0,80.0
2022_01_22_1149_3C64F4__A343_D-AIGT,CFM56-5C3,238445.33,166381.79,81445.33,9381.790418510103,68.0,1604.0,22784.0,0.0,1660.0,0.0,224.0
2022_01_22_2135_3C64F4__A343_D-AIGT,CFM56-5C3,255796.3,171278.18,98796.3,14278.175352131948,56.0,2192.0,27360.0,0.0,1852.0,0.0,268.0
2022_01_23_1326_3C64F4__A343_D-AIGT,CFM56-5C3,205720.62,161627.47,48720.62,4627.471254022294,60.0,1508.0,12652.0,4.0,1748.0,0.0,464.0
2022_01_23_2304_3C64F4__A343_D-AIGT,CFM56-5C3,211526.64,162354.47,54526.64,5354.472732014457,0.0,1524.0,14556.0,0.0,2032.0,0.0,156.0
2022_01_24_1028_3C64F4__A343_D-AIGT,CFM56-5C3,257288.39,169736.15,100288.39,12736.145440459404,88.0,1724.0,28436.0,0.0,1888.0,0.0,212.0
2022_01_24_2220_3C64F4__A343_D-AIGT,CFM56-5C3,239054.99,165931.69,82054.99,8931.69108101825,16.0,1624.0,23080.0,0.0,1508.0,0.0,80.0
2022_01_25_1221_3C64F4__A343_D-AIGT,CFM56-5C3,274958.2,173787.85,117958.2,16787.84941197678,88.0,1772.0,33908.0,0.0,1880.0,0.0,100.0
2022_01_26_0059_3C64F4__A343_D-AIGT,CFM56-5C3,250534.01,167589.08,93534.01,10589.083595569668,28.0,1800.0,26376.0,12.0,1512.0,0.0,108.0
2022_01_26_2131_3C64F4__A343_D-AIGT,CFM56-5C3,272987.85,172329.05,115987.85,15329.050803149523,84.0,1932.0,33020.0,0.0,2108.0,0.0,224.0
2022_01_28_0726_3C64F4__A343_D-AIGT,CFM56-5C3,N/A,157146.53,120613.42,146.53019377446532,80.0,1756.0,34812.0,0.0,1556.0,0.0,172.0
2022_01_28_2121_3C64F4__A343_D-AIGT,CFM56-5C3,272863.84,172236.3,115863.84,15236.301471251802,68.0,1860.0,33152.0,0.0,1604.0,0.0,452.0
2022_01_29_1704_3C64F4__A343_D-AIGT,CFM56-5C3,N/A,157131.62,142827.19,131.6190644167334,72.0,2940.0,39928.0,4.0,2240.0,0.0,552.0
2022_01_30_0916_3C64F4__A343_D-AIGT,CFM56-5C3,N/A,157139.14,123460.08,139.1437909683879,76.0,1876.0,35540.0,0.0,1524.0,0.0,196.0
2022_01_30_2219_3C64F4__A343_D-AIGT,CFM56-5C3,258402.25,170704.02,101402.25,13704.023609597403,36.0,1588.0,29148.0,0.0,1252.0,0.0,300.0
2022_01_31_1239_3C64F4__A343_D-AIGT,CFM56-5C3,N/A,157058.63,127127.98,58.62613600111801,32.0,2104.0,36440.0,0.0,1544.0,0.0,172.0
2022_02_01_0142_3C64F4__A343_D-AIGT,CFM56-5C3,254424.66,168125.29,97424.66,11125.29137648705,0.0,1696.0,27772.0,0.0,1616.0,0.0,216.0
2022_02_01_2032_3C64F4__A343_D-AIGT,CFM56-5C3,N/A,157095.35,130657.34,95.35162324934615,52.0,1964.0,37656.0,0.0,1676.0,0.0,376.0
2022_02_02_1603_3C64F4__A343_D-AIGT,CFM56-5C3,N/A,157109.97,156839.18,109.97158569529691,60.0,2400.0,45168.0,0.0,2064.0,0.0,252.0
2022_02_04_1014_3C64F4__A343_D-AIGT,CFM56-5C3,256259.98,169258.75,99259.98,12258.754571525067,40.0,1632.0,28300.0,0.0,2124.0,0.0,156.0
2022_02_05_2129_3C64F4__A343_D-AIGT,CFM56-5C3,228608.98,164083.68,71608.98,7083.683912356213,104.0,1572.0,19616.0,0.0,2168.0,0.0,232.0
2022_02_06_1012_3C64F4__A343_D-AIGT,CFM56-5C3,257711.0,169385.21,100711.0,12385.214616958248,40.0,1764.0,28636.0,0.0,1660.0,0.0,160.0
2022_02_06_2129_3C64F4__A343_D-AIGT,CFM56-5C3,228677.02,164164.37,71677.02,7164.370560333511,96.0,1652.0,19580.0,0.0,2044.0,0.0,76.0
2022_02_07_1232_3C64F4__A343_D-AIGT,CFM56-5C3,N/A,157109.89,120873.36,109.88657171763938,60.0,1788.0,34836.0,0.0,1876.0,0.0,160.0
2022_02_08_0107_3C64F4__A343_D-AIGT,CFM56-5C3,259452.76,169169.14,102452.76,12169.141952747113,0.0,1712.0,29296.0,0.0,1648.0,0.0,348.0
2022_02_08_1031_3C656F__A333_D-AIKO,Trent 772,197857.58,188692.48,48077.58,38912.478897980895,0.0,2207.0,22216.0,8.0,1652.0,0.0,800.0
2022_02_08_2024_3C656F__A333_D-AIKO,Trent 772,199604.88,191576.35,49824.88,41796.354765912256,0.0,1764.0,24692.0,4.0,2060.0,0.0,480.0
2022_02_08_2112_3C64F4__A343_D-AIGT,CFM56-5C3,270938.04,171926.38,113938.04,14926.38288313329,72.0,1920.0,32500.0,0.0,1484.0,0.0,296.0
2022_02_09_1653_3C64F4__A343_D-AIGT,CFM56-5C3,N/A,157124.49,142286.68,124.48966997717923,68.0,3220.0,39392.0,0.0,2452.0,0.0,232.0
2022_02_10_0938_3C656F__A333_D-AIKO,Trent 772,218328.26,210707.38,68548.26,60927.37868710576,28.0,2248.0,34827.0,0.0,2152.0,0.0,208.0
2022_02_10_2136_3C656F__A333_D-AIKO,Trent 772,155572.74,153580.02,5792.74,3800.0173290145844,28.0,924.0,120.0,0.0,1272.0,0.0,116.0
2022_02_11_0040_3C656F__A333_D-AIKO,Trent 772,206282.97,196573.41,56502.97,46793.41436488234,36.0,2144.0,27688.0,0.0,1932.0,0.0,156.0
2022_02_11_1054_3C64F4__A343_D-AIGT,CFM56-5C3,250715.48,169037.22,93715.48,12037.22440257233,84.0,1528.0,26696.0,0.0,1792.0,0.0,108.0
2022_02_11_1309_3C656F__A333_D-AIKO,Trent 772,184919.02,176190.55,35139.02,26410.552729810206,52.0,1940.0,14764.0,0.0,2072.0,0.0,472.0
2022_02_11_1925_3C656F__A333_D-AIKO,Trent 772,154302.2,153376.91,4522.2,3596.9127983851213,20.0,592.0,468.0,0.0,1152.0,0.0,56.0
2022_02_11_2118_3C64F4__A343_D-AIGT,CFM56-5C3,232609.69,164837.69,75609.69,7837.686764380385,88.0,1560.0,20972.0,0.0,1888.0,0.0,104.0
2022_02_11_2132_3C656F__A333_D-AIKO,Trent 772,155196.72,153700.71,5416.72,3920.7112307233883,40.0,728.0,464.0,4.0,1288.0,0.0,44.0
2022_02_11_2332_3C656F__A333_D-AIKO,Trent 772,188889.23,180914.21,39109.23,31134.213235754967,24.0,1456.0,19164.0,0.0,1636.0,0.0,84.0
2022_02_12_1051_3C64F4__A343_D-AIGT,CFM56-5C3,250915.46,168020.2,93915.46,11020.20188559093,88.0,1756.0,26392.0,0.0,2068.0,0.0,80.0
2022_02_12_2128_3C64F4__A343_D-AIGT,CFM56-5C3,229820.74,164191.48,72820.74,7191.477675948489,64.0,1648.0,20004.0,0.0,1976.0,0.0,104.0
2022_02_13_1051_3C656F__A333_D-AIKO,Trent 772,187536.96,179940.67,37756.96,30160.665553684004,0.0,1796.0,17412.0,0.0,1460.0,0.0,40.0
2022_02_13_1134_3C64F4__A343_D-AIGT,CFM56-5C3,241427.68,166776.87,84427.68,9776.872729710165,48.0,1708.0,23652.0,0.0,1432.0,0.0,128.0
2022_02_13_1734_3C656F__A333_D-AIKO,Trent 772,156348.31,153927.58,6568.31,4147.575839200603,4.0,1132.0,60.0,0.0,1260.0,0.0,72.0
2022_02_13_1959_3C656F__A333_D-AIKO,Trent 772,156622.41,154298.56,6842.41,4518.561798583275,36.0,1080.0,200.0,0.0,1464.0,0.0,76.0
2022_02_13_2134_3C64F4__A343_D-AIGT,CFM56-5C3,253948.1,170172.78,96948.1,13172.777338957083,52.0,2096.0,26916.0,0.0,2056.0,0.0,124.0
2022_02_13_2216_3C656F__A333_D-AIKO,Trent 772,187281.35,177772.6,37501.35,27992.60235665644,4.0,1876.0,16804.0,0.0,1964.0,0.0,68.0
2022_02_14_2035_3C64F4__A343_D-AIGT,CFM56-5C3,N/A,157065.99,135174.1,65.98594166999867,36.0,2100.0,38952.0,0.0,1564.0,0.0,160.0
2022_02_15_0935_3C656F__A333_D-AIKO,Trent 772,220003.95,210773.25,70223.95,60993.24705165569,24.0,2028.0,36700.0,4.0,1824.0,0.0,160.0
2022_02_15_1635_3C64F4__A343_D-AIGT,CFM56-5C3,N/A,157102.63,150109.21,102.63227142832271,56.0,2500.0,42940.0,0.0,2060.0,0.0,192.0
2022_02_15_2308_3C656F__A333_D-AIKO,Trent 772,204470.19,197749.76,54690.19,47969.764189971975,64.0,1504.0,28484.0,0.0,1760.0,0.0,284.0
2022_02_16_1217_3C656F__A333_D-AIKO,Trent 772,217403.02,208244.06,67623.02,58464.05678232561,12.0,2236.0,34448.0,0.0,1868.0,0.0,200.0
2022_02_16_2041_3C64F4__A343_D-AIGT,CFM56-5C3,N/A,157043.95,136394.55,43.95205069237562,24.0,2104.0,39296.0,0.0,1928.0,0.0,144.0
2022_02_17_0111_3C656F__A333_D-AIKO,Trent 772,203089.5,192917.24,53309.5,43137.238192160854,52.0,2108.0,25704.0,0.0,1760.0,0.0,444.0
2022_02_17_1233_3C656F__A333_D-AIKO,Trent 772,215378.21,208963.78,65598.21,59183.783523439895,16.0,1680.0,34724.0,0.0,2376.0,0.0,288.0
2022_02_17_1608_3C64F4__A343_D-AIGT,CFM56-5C3,N/A,157131.71,156154.76,131.7103858045891,72.0,2488.0,44764.0,0.0,2300.0,0.0,316.0
2022_02_18_0137_3C656F__A333_D-AIKO,Trent 772,203472.26,193187.89,53692.26,43407.88604832463,32.0,2268.0,25648.0,0.0,1604.0,0.0,208.0
2022_02_18_1010_3C64F4__A343_D-AIGT,CFM56-5C3,258454.18,170854.91,101454.18,13854.913365530709,36.0,1680.0,28968.0,0.0,1828.0,0.0,164.0
2022_02_18_1307_3C656F__A333_D-AIKO,Trent 772,181089.41,174099.89,31309.41,24319.888997124464,16.0,1688.0,13468.0,0.0,1720.0,0.0,352.0
2022_02_18_1854_3C656F__A333_D-AIKO,Trent 772,154547.7,153388.87,4767.7,3608.8728340883813,28.0,584.0,668.0,0.0,1000.0,0.0,52.0
2022_02_18_2130_3C656F__A333_D-AIKO,Trent 772,155581.86,154011.01,5801.86,4231.006916665332,32.0,752.0,712.0,0.0,1112.0,0.0,104.0
2022_02_18_2149_3C64F4__A343_D-AIGT,CFM56-5C3,228819.93,164639.87,71819.93,7639.868576053121,68.0,1752.0,19556.0,0.0,1744.0,0.0,212.0
2022_02_18_2342_3C656F__A333_D-AIKO,Trent 772,190079.72,185180.11,40299.72,35400.10739758267,20.0,1904.0,18268.0,0.0,1920.0,0.0,508.0
2022_02_19_1027_3C656F__A333_D-AIKO,Trent 772,207873.62,199110.05,58093.62,49330.04781669977,28.0,1700.0,30304.0,0.0,1476.0,0.0,60.0
2022_02_19_1054_3C64F4__A343_D-AIGT,CFM56-5C3,253394.33,168933.42,96394.33,11933.420136321884,56.0,1776.0,27156.0,0.0,2200.0,0.0,196.0
2022_02_19_2154_3C64F4__A343_D-AIGT,CFM56-5C3,227101.12,164735.96,70101.12,7735.962775668595,60.0,1608.0,19244.0,0.0,1712.0,0.0,192.0
2022_02_19_2213_3C656F__A333_D-AIKO,Trent 772,193987.62,185940.26,44207.62,36160.25601898031,28.0,1664.0,21596.0,0.0,1600.0,0.0,360.0
2022_02_20_1156_3C656F__A333_D-AIKO,Trent 772,208045.31,200916.57,58265.31,51136.57478791635,24.0,2092.0,28812.0,0.0,2448.0,0.0,200.0
2022_02_20_2315_3C656F__A333_D-AIKO,Trent 772,195076.61,184681.52,45296.61,34901.518848058455,56.0,1860.0,21528.0,0.0,1712.0,0.0,304.0
2022_02_21_1001_3C656F__A333_D-AIKO,Trent 772,215405.17,204510.31,65625.17,54730.3075018321,16.0,2104.0,33620.0,0.0,1800.0,0.0,212.0
2022_02_21_2247_3C656F__A333_D-AIKO,Trent 772,207696.27,198521.21,57916.27,48741.21187347677,24.0,1792.0,29656.0,0.0,1728.0,0.0,584.0
2022_02_22_1311_3C656F__A333_D-AIKO,Trent 772,180021.3,172004.25,30241.3,22224.2498664559,32.0,1828.0,12384.0,0.0,1600.0,0.0,208.0
2022_02_22_2313_3C656F__A333_D-AIKO,Trent 772,183659.92,174807.12,33879.92,25027.1205691179,0.0,1944.0,14240.0,0.0,2072.0,0.0,260.0
2022_02_24_1205_3C656F__A333_D-AIKO,Trent 772,209660.84,199185.27,59880.84,49405.274447953605,20.0,2220.0,29492.0,0.0,2304.0,0.0,168.0
2022_02_24_1643_3C64F4__A343_D-AIGT,CFM56-5C3,N/A,157080.6,120657.74,80.60462773095378,44.0,1880.0,34660.0,0.0,1624.0,0.0,452.0
2022_02_24_2332_3C656F__A333_D-AIKO,Trent 772,195121.55,185193.64,45341.55,35413.64486172732,64.0,1948.0,21268.0,0.0,1588.0,0.0,364.0
2022_02_25_0618_3C64F4__A343_D-AIGT,CFM56-5C3,N/A,157146.61,138341.42,146.61348804364098,80.0,1764.0,40304.0,0.0,1760.0,0.0,212.0
2022_02_25_1211_3C656F__A333_D-AIKO,Trent 772,206470.84,199352.32,56690.84,49572.32357601931,0.0,2018.0,28252.0,0.0,1920.0,0.0,444.0
2022_02_25_2319_3C656F__A333_D-AIKO,Trent 772,195803.02,186356.98,46023.02,36576.98348255883,48.0,2204.0,20912.0,0.0,1796.0,0.0,260.0
2022_02_26_1114_3C656F__A333_D-AIKO,Trent 772,205731.85,195844.26,55951.85,46064.26109054085,76.0,2336.0,26736.0,0.0,1536.0,0.0,88.0
2022_02_26_1323_3C64F4__A343_D-AIGT,CFM56-5C3,N/A,157160.85,135358.41,160.8537130503126,88.0,2056.0,39000.0,0.0,1516.0,0.0,92.0
2022_02_26_2153_3C656F__A333_D-AIKO,Trent 772,197017.78,187426.18,47237.78,37646.1785012277,28.0,2220.0,21488.0,4.0,1724.0,0.0,920.0
2022_02_27_0314_3C64F4__A343_D-AIGT,CFM56-5C3,N/A,157000.0,120196.76,0.0,0.0,2296.0,34028.0,0.0,1752.0,0.0,160.0
2022_02_27_1145_3C656F__A333_D-AIKO,Trent 772,207028.87,198775.89,57248.87,48995.894749006286,84.0,2244.0,27452.0,4.0,2416.0,0.0,220.0
2022_02_27_2123_3C64F4__A343_D-AIGT,CFM56-5C3,N/A,157088.0,120758.68,87.99925531664562,48.0,1816.0,34792.0,0.0,1844.0,0.0,120.0
2022_02_27_2304_3C656F__A333_D-AIKO,Trent 772,196085.06,186620.01,46305.06,36840.01162365585,28.0,2000.0,21820.0,0.0,1864.0,0.0,168.0
2022_02_28_1028_3C656F__A333_D-AIKO,Trent 772,202727.63,193383.43,52947.63,43603.427836041665,64.0,2112.0,25464.0,0.0,1832.0,0.0,236.0
2022_02_28_1704_3C64F4__A343_D-AIGT,CFM56-5C3,N/A,157146.34,139029.09,146.3383233453303,80.0,2368.0,39668.0,0.0,1748.0,0.0,204.0
2022_02_28_2110_3C656F__A333_D-AIKO,Trent 772,193701.95,184397.58,43921.95,34617.57662471172,64.0,1732.0,21116.0,4.0,1652.0,0.0,108.0
2022_03_01_1035_3C656F__A333_D-AIKO,Trent 772,200495.87,191612.48,50715.87,41832.47524390646,64.0,1732.0,25360.0,0.0,1632.0,0.0,172.0
2022_03_01_1650_3C64F4__A343_D-AIGT,CFM56-5C3,N/A,157146.5,132056.95,146.49987788996833,80.0,2100.0,37832.0,0.0,1852.0,0.0,340.0
2022_03_01_2126_3C656F__A333_D-AIKO,Trent 772,192175.38,181996.01,42395.38,32216.013894171272,28.0,1916.0,19580.0,0.0,2088.0,0.0,128.0
2022_03_02_0624_3C64F4__A343_D-AIGT,CFM56-5C3,N/A,157102.65,153242.37,102.64607267224501,56.0,2148.0,44436.0,0.0,1888.0,0.0,236.0
2022_03_02_1254_3C656F__A333_D-AIKO,Trent 772,183577.64,176164.15,33797.64,26384.154565749974,0.0,2042.0,13988.0,0.0,1832.0,0.0,176.0
2022_03_02_1859_3C656F__A333_D-AIKO,Trent 772,154593.3,153177.97,4813.3,3397.9741194050994,32.0,680.0,388.0,0.0,992.0,0.0,28.0
2022_03_02_2123_3C656F__A333_D-AIKO,Trent 772,155520.0,153906.19,5740.0,4126.185519362663,40.0,820.0,300.0,0.0,1544.0,0.0,48.0
2022_03_02_2317_3C656F__A333_D-AIKO,Trent 772,188575.7,180237.51,38795.7,30457.513648164266,32.0,1420.0,18902.0,0.0,2064.0,0.0,96.0
2022_03_03_1209_3C656F__A333_D-AIKO,Trent 772,205189.86,197249.39,55409.86,47469.38905413641,32.0,2136.0,27008.0,0.0,1960.0,0.0,240.0
2022_03_03_1439_3C64F4__A343_D-AIGT,CFM56-5C3,N/A,157088.03,125771.63,88.0333599239998,48.0,2344.0,35416.0,0.0,2412.0,0.0,856.0
2022_03_03_2308_3C656F__A333_D-AIKO,Trent 772,196564.34,187545.18,46784.34,37765.183123181654,28.0,2052.0,22028.0,0.0,1708.0,0.0,108.0
2022_03_04_0424_3C64F4__A343_D-AIGT,CFM56-5C3,N/A,157102.47,155443.52,102.47308313068615,56.0,2188.0,45040.0,4.0,1912.0,0.0,356.0
2022_03_04_1151_3C656F__A333_D-AIKO,Trent 772,204025.61,195544.04,54245.61,45764.041434203245,36.0,1732.0,27572.0,0.0,1844.0,0.0,268.0
2022_03_04_2255_3C656F__A333_D-AIKO,Trent 772,196443.17,187049.67,46663.17,37269.670237462924,56.0,1904.0,22328.0,0.0,1600.0,0.0,164.0
2022_03_05_1045_3C656F__A333_D-AIKO,Trent 772,199624.65,189126.1,49844.65,39346.09729614869,36.0,2008.0,24012.0,0.0,1828.0,0.0,96.0
2022_03_05_2107_3C656F__A333_D-AIKO,Trent 772,193635.31,184495.91,43855.31,34715.910592713335,64.0,1728.0,20912.0,0.0,2124.0,0.0,192.0
2022_03_06_1150_3C656F__A333_D-AIKO,Trent 772,207166.94,198470.17,57386.94,48690.172749123056,48.0,2132.0,28176.0,0.0,1992.0,0.0,260.0
2022_03_06_2137_3C64F4__A343_D-AIGT,CFM56-5C3,N/A,157131.89,138336.78,131.89094607368628,72.0,2224.0,39684.0,0.0,1680.0,0.0,172.0
2022_03_06_2256_3C656F__A333_D-AIKO,Trent 772,197886.82,188205.41,48106.82,38425.406805674524,32.0,2184.0,22362.0,0.0,1844.0,0.0,148.0
2022_03_07_1148_3C656F__A333_D-AIKO,Trent 772,206247.43,196429.97,56467.43,46649.96777097827,44.0,2180.0,27476.0,0.0,2064.0,0.0,156.0
2022_03_07_1627_3C64F4__A343_D-AIGT,CFM56-5C3,N/A,157102.56,152368.71,102.55504060123562,56.0,2296.0,43976.0,0.0,1824.0,0.0,152.0
2022_03_07_2253_3C656F__A333_D-AIKO,Trent 772,195500.68,186547.83,45720.68,36767.82761982213,20.0,1536.0,22976.0,4.0,1848.0,0.0,80.0
2022_03_08_1011_3C656F__A333_D-AIKO,Trent 772,204794.54,195544.21,55014.54,45764.20596433261,52.0,2068.0,26884.0,0.0,1964.0,0.0,276.0
